ticker,title,desc,date_raw,url,source
PLX,"Petrolimex công bố thông tin bất thường về tổng giám đốc, cổ phiếu diễn biến ‘lạ’ - Tuổi Trẻ","Petrolimex công bố thông tin bất thường về tổng giám đốc, cổ phiếu diễn biến ‘lạ’  Tuổi Trẻ","Thu, 08 May 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiuwFBVV95cUxQMktTU2tSY0JlN0hrR0JXcVpQbEtfNGNSc0xBcWZfQWQzTzRJMVM4OVQ3ZDlYeG1ISzA1OFplRzBxRlhjMGp2bVZJMFhpeG9DSkxNaGI2bG1iNGdmOHlFcG9SNFVxRG03NzViS0xJWWcwRE9PTUpvQzdqb2NrU01EQ3JVTkV0NjJWcXFRcE5RVkw1QUNMTTlvZFpwUnBkd3p5U1h6aWxQamU4NTc0dkdOU1hRN3FqQXNrbVBn?oc=5&hl=en-US&gl=US&ceid=US:en,Tuổi Trẻ
PLX,Cổ phiếu Petrolimex 'chạm trần' sau tin CEO Đào Nam Hải bị đình chỉ chức vụ - Chứng khoán DNSE,Cổ phiếu Petrolimex 'chạm trần' sau tin CEO Đào Nam Hải bị đình chỉ chức vụ  Chứng khoán DNSE,"Thu, 08 May 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNRU10NmhISENCeFZnc0NZRkJucTlFdktueldIaTlPMFk3MER5R3JwZEllTjYyajNhbko1Z21KOTgxOTZ0RDlRbHctUko3SEhmODJ2WXVxSnBOa2llQjFuYnVPbG9OSGY3emhMVUVfMkFnVU14NDVJUV82dUlodHVqWWlaakNsTlJXZllKR1JVQ1FpeTFweUd0d2RhX2h0QmVSckphM29Fb1A5d1ZNb3Q0eWM5UWZVU2ZFbHpN?oc=5&hl=en-US&gl=US&ceid=US:en,Chứng khoán DNSE
PLX,"Petrolimex 'cài số lùi' lợi nhuận 2026, lần đầu lên tiếng trước áp lực từ xe điện - Tuổi Trẻ","Petrolimex 'cài số lùi' lợi nhuận 2026, lần đầu lên tiếng trước áp lực từ xe điện  Tuổi Trẻ","Sun, 05 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiuwFBVV95cUxQcHIwM25KVVU5M0Z3NTMxMTlpY3IzdEEzaE9xUU01ZDFpTHVfVW1peEJBUGwxa09MR2FHYXlNM2RubGNfZ3ZsczNiQS1SdktHNEdEWS00dzZ1NE1sdmsybjZURkxaVHZwN25QX2lTZTdLbVEtV1E1aFR5VzR0dDFIOXZzNDM3S2hIcFVkMWhtcXlaeFVHdmI4TzVmbGdOSWFERmxMWFBXSkFXMEVmdzRwRzA5ZTFobFdfMXNZ?oc=5&hl=en-US&gl=US&ceid=US:en,Tuổi Trẻ
PLX,"Động lực nào khiến cổ phiếu của Petrolimex tăng hơn 50%, về đỉnh 28 tháng - Mekong ASEAN","Động lực nào khiến cổ phiếu của Petrolimex tăng hơn 50%, về đỉnh 28 tháng  Mekong ASEAN","Fri, 16 Aug 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiqAFBVV95cUxPaDJLRkU5aGdCZDdRUi1TMnpHNjhTYXdFckxfWVRsTm53a0o5MGJZdjc1YTAxRENVS0RUN3UxcHRUZ2dKWFNpYkczVjFiaWNISy1MRG5hTXhfSFp5YVY5d1NmeHdibTNmODFIZGFVckJyRTVyNFNTWTVnZHRmRUFzYllvdlUtTm5TbXA1YVJxN0tuWDZRWmpWNFVkUVR3eUkxN2F4WWljYlc?oc=5&hl=en-US&gl=US&ceid=US:en,Mekong ASEAN
PLX,Cổ phiếu Petrolimex tăng trần bất ngờ giữa thông tin tiêu cực - Laodong.vn,Cổ phiếu Petrolimex tăng trần bất ngờ giữa thông tin tiêu cực  Laodong.vn,"Thu, 08 May 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMipgFBVV95cUxOUmNyRThZZ3drQXgxNmcwSnRhbHYwVDMwV2hIWGlzZUlZVEVrS1pOMEZ2d2JiYkRjWTJ0Zi1ZNUlnRXkzWTUtbjY0V3VMeElTZ1JwTEFSbnJ2aTlST0tpN1FGRS1CWFBfYVU4SkJRQ1BINnVQYm5XZi1wTk5QSWliU2lpM19DUm5XNnAydGRSZURjQzF0clphVk05Q1QwM0lUWExsbFVB?oc=5&hl=en-US&gl=US&ceid=US:en,Laodong.vn
PLX,Thực hư chuyện sáp nhập OIL và Petrolimex (PLX) - Tin nhanh chứng khoán,Thực hư chuyện sáp nhập OIL và Petrolimex (PLX)  Tin nhanh chứng khoán,"Thu, 26 Feb 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMimwFBVV95cUxPRG56RUctZVE5a0ZIdFJ6SlUxdnVTNkQxeVVka1ByRm9RT0tVUHU1ajctcHd4dC0wUkVqV0xuS0RybmdJRGZSQW13SW5vcmQ5NzBQY2V6c1EyemdFVnphMkJpaGx2dW4wUHl3NmUzV09EcDUyMkpOTG1MdHRWXzRVT21KNGJ5NHFidF9KeHlSOGY0MnMwVEliXzlsUdIBlwFBVV95cUxNRzRmMHJPRFEwdk5nUVpkckZtcWJXT1NLWG1zaW5NcTdiRWVNa1BMTDJiRkt3QjRUZnVJM1JMRmtnWEhESk5DSVR6WkJPdU5zNUIzdl85bmZBZ3JHQzNUTDVLUjZGWUM3WW9MT2EtWm1wYVI0d01YZGo5N1ZUWWhlMWNCek9iMTBnbEEta0ExaFEwOE5vNnNv?oc=5&hl=en-US&gl=US&ceid=US:en,Tin nhanh chứng khoán
PLX,Cổ phiếu dầu khí bật tăng: Đột biến hay dài hạn? - Tin nhanh chứng khoán,Cổ phiếu dầu khí bật tăng: Đột biến hay dài hạn?  Tin nhanh chứng khoán,"Sun, 29 Jun 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxQNFdxVlIzRkVPUUdsTXpCbjhrUndoTUtVejFPOERqbHRKbFZqajJqWEpkZUtpLUhqVXB0bk4wMnJZSG9iV0hiQzMzSlRSbVFFdFpZYkQ0eWZ2QXRYUG9KY1Q5dHJraXhUN0o0dGs5TWNDd3NjMnpLcEw4Zm9LdHVwM0J6a1M2WnBMMVZDYnRnamFHcmZxM0dQdG5qSELSAZgBQVVfeXFMTWtPdmRocXJsc2xqQkVFbGxiV2dvZjBlQXNjNWg2RlJXTnJUZ0VrQUlyeWh4NGtUNFBwYnF5Vnk3ejRhY0JQUF9yeWNFa3MyWUZDd2haZ29yQ1ZDRXRoNGM1S0pLUGRiRS1RREdCOUIxQkFWZ1NLanRBZVExcEpTcWxrTWQ1cFlOYzR5RnRuR2RNQ3JpeGN5SGU?oc=5&hl=en-US&gl=US&ceid=US:en,Tin nhanh chứng khoán
PLX,Cổ phiếu PLX áp sát đỉnh lịch sử - diendandoanhnghiep.vn,Cổ phiếu PLX áp sát đỉnh lịch sử  diendandoanhnghiep.vn,"Fri, 10 May 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiggFBVV95cUxOS2NFV3Z4cGhwcVpsQmtXWXFjanNnOEllaDZIUHpzM0NKcEEwVmRHV2NhazR1N0ZEUlNOZUtWOEtndC1nR3lFVUt2TWYtZlh2RnIyTFhUbGl1TVpGWVUtODJOUTNDajZrVklMeEx5THc5MDN2a0VfMWtTajVSOVp0SE5R?oc=5&hl=en-US&gl=US&ceid=US:en,diendandoanhnghiep.vn
PLX,"Petrolimex (PLX): Đại gia xăng dầu Nhật ENEOS Corporation tiếp tục mua 25 triệu cổ phiếu, sắp trở thành cổ đông lớn - CafeF","Petrolimex (PLX): Đại gia xăng dầu Nhật ENEOS Corporation tiếp tục mua 25 triệu cổ phiếu, sắp trở thành cổ đông lớn  CafeF","Wed, 19 May 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMi5AFBVV95cUxQWFJIVkdScnByS1J4VDd2aTVsTDc2M2NHeGRhYkVMVUctLURkQ3V4dkgxaWh2N0hkWm5UQnlRdVFRNFhGSDRoV3V3WUtvYTVSYS1QcFc0SFlzYzdEMi1ULWprRHlZcGFmWmVZM0dXc2Q3TGdmOFRIUTVnSnRwcDNGaFJBUTFNVkhkOExIQXhZMEdrbkp0QjBKUGd5TXQ2RDNHaDVwNWNFeWNWTXE2b0paQng0Vl9NUG9Xb3p4aGo2WGZvaHlDbFB6Y3JKNW5PZWNEZWpWUG9FSFdDSGQySzFCTzlkOUY?oc=5&hl=en-US&gl=US&ceid=US:en,CafeF
PLX,"Chứng khoán tăng 17 điểm, ""cá mập"" dồn tiền mua cổ phiếu xăng dầu - Báo Dân trí","Chứng khoán tăng 17 điểm, ""cá mập"" dồn tiền mua cổ phiếu xăng dầu  Báo Dân trí","Mon, 19 Jan 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiuAFBVV95cUxQZU1EZF9tWDZ2N0QwQWc2QkcwV3dpUmlrU1BmdEwwYzZxS1ByeVo5SE1kdTh6ZzJyYTMyWUZDOFFxNVVsd0JkVDFQQ3A0SUlQZU9BSlhDREJ6LU1SZXFadkVGNVFXOW9HVkVRVTJFWnZ2WTV0WkpkUmEyRHRSQmVwMHRqeHRMTVpYQUhfYi1TdFVxSXJPXzVGSXZXWWZ4THRtRFVySlNTSWc4NkF6WWhSV0wxLWNfUTRt?oc=5&hl=en-US&gl=US&ceid=US:en,Báo Dân trí
